"Grouping Variable/N";AAR(-2);AAR(-1);AAR(0);AAR(1);AAR(2)
"VW Group";-0.0044;-0.0098;-0.0116;-0.0102;0.0056
"N(VW Group, AAR(i))";3;3;3;3;3
"Pos:Neg(VW Group, AAR(i))";0:3;1:2;0:3;0:3;3:0
"Patell Z";-0.785;-1.5322;-2.0092;-1.6626;0.8977
"Generalized Sign Z";-1.5604;-0.3994;-1.5604;-1.5604;1.9226
"Csect T";-4;-1.4918;-2.0518;-2.1915;2.0267
"StdCSect Z";-3.4752;-1.4385;-2.193;-2.3288;2.0322
"Rank Z";-0.9366;-1.1468;-1.6215;-1.5068;1.1373
"Generalized Rank T";-2.1893;-1.1389;-1.6588;-1.7512;1.5553
"Adjusted Patell Z";-0.7498;-1.4636;-1.9192;-1.5881;0.8575
"Adjusted StdCSect Z";-3.2388;-1.3407;-2.0438;-2.1704;1.894
"Generalized Rank Z";-2.6773;-1.3944;-2.0319;-2.1434;1.9044
"Skewness Corrected T";-0.8704;-1.1225;-3.1482;-1.9178;0.8879
Other;-0.0005;-0.0042;-0.0238;-0.0006;-0.0092
"N(Other, AAR(i))";2;2;2;2;2
"Pos:Neg(Other, AAR(i))";1:1;0:2;0:2;1:1;0:2
"Patell Z";-0.1715;-0.8073;-4.9406;-0.1616;-1.9538
"Generalized Sign Z";0.034;-1.3807;-1.3807;0.034;-1.3807
"Csect T";-0.2;-2.2703;-52.8889;-0.3429;-5.75
"StdCSect Z";-0.322;-2.9228;-8.9412;-0.4272;-3.3602
"Rank Z";-0.2141;-0.9864;-1.9193;-0.2026;-1.6019
"Generalized Rank T";-0.3036;-1.7714;-1.9531;-0.3737;-1.8661
"Adjusted Patell Z";-0.1348;-0.6342;-3.8815;-0.127;-1.535
"Adjusted StdCSect Z";-0.1559;-1.4153;-4.3295;-0.2069;-1.6271
"Generalized Rank Z";-0.3806;-2.2153;-2.4398;-0.4684;-2.3324
"Skewness Corrected T";;;;;-Inf
